Date;REG1_AC1;LY;REG2_AC1;REG2_AC2;REG3_AC1;REG3_AC2;REG3_AC3;REG5_AC1;REG5_AC2;REG5_AC3;REG5_AC4;REG5_AC5;REG6_AC1;REG6_AC2;REG6_AC3;REG6_AC4;REG6_AC5;REG6_AC6
01/04/1997;1.792222222;1.77636E-15;1.694107143;-0.176607143;0.399107143;1.295;-0.176607143;0.418730159;0.842301587;0.841944444;-0.153412698;-0.15734127;0.399107143;0.822678571;0.822321429;-0.173035714;-0.176964286;-0.176607143
01/05/1997;-0.584166667;6.66134E-16;-0.075647321;0.915334821;-0.653772321;0.578125;0.915334821;-0.75547619;-0.182797619;0.070059524;-0.532083333;0.816130952;-0.653772321;-0.08109375;0.171763393;-0.430379464;0.917834821;0.915334821
01/06/1997;-0.149444444;1.9984E-15;-0.335357143;-0.334642857;0.953214286;-1.288571429;-0.334642857;0.990396825;-0.296031746;-0.28031746;-0.267460317;-0.296031746;0.953214286;-0.333214286;-0.3175;-0.304642857;-0.333214286;-0.334642857
01/07/1997;0.885;7.77156E-16;0.747723214;-0.247098214;-1.249598214;1.997321429;-0.247098214;-1.222142857;0.777142857;0.775714286;0.778571429;-0.224285714;-1.249598214;0.7496875;0.748258929;0.751116071;-0.251741071;-0.247098214
01/08/1997;-2.221111111;7.77156E-16;-1.873839286;0.625089286;-0.374553571;-1.499285714;0.625089286;-0.444007937;-0.444007937;-0.443650794;-0.444007937;-0.445436508;-0.374553571;-0.374553571;-0.374196429;-0.374553571;-0.375982143;0.625089286
01/09/1997;0.89;1.77636E-15;0.751383929;-0.249508929;0.750133929;0.00125;-0.249508929;0.777857143;0.777142857;-0.221785714;-0.221785714;-0.221428571;0.750133929;0.749419643;-0.249508929;-0.249508929;-0.249151786;-0.249508929
01/10/1997;1.331111111;8.88178E-16;1.122455357;-0.375580357;-0.375580357;1.498035714;-0.375580357;-0.333849206;-0.333134921;0.665436508;0.665793651;0.666865079;-0.375580357;-0.374866071;0.623705357;0.6240625;0.625133929;-0.375580357
01/11/1997;-1.555;2.10942E-15;-1.6253125;-0.1265625;-0.125848214;-1.499464286;-0.1265625;-0.111785714;-1.11;-0.111071429;-0.110714286;-0.111428571;-0.125848214;-1.1240625;-0.125133929;-0.124776786;-0.125491071;-0.1265625
01/12/1997;0.889444444;8.88178E-16;0.7496875;-0.2515625;0.747366071;0.002321429;-0.2515625;0.77531746;0.778174603;0.778174603;-1.222539683;-0.21968254;0.747366071;0.750223214;0.750223214;-1.250491071;-0.247633929;-0.2515625
01/01/1998;-0.666111111;0;-0.249866071;0.749241071;-0.249330357;-0.000535714;0.749241071;-0.332579365;-0.332579365;-0.333293651;-0.334365079;0.666706349;-0.249330357;-0.249330357;-0.250044643;-0.251116071;0.749955357;0.749241071
01/02/1998;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
